STI,CMDB ID,Application Name,SOA Applicable,SOA Status,ESS Self-Assessment Status,ESS Assessment URL,PIA Status,PIA Assessment URL,DPQ Complete,SIA Status,Criticality Tier,Data Classification,Install Status,Collection Method,Collection Date,Status
DIST-005,DIST-005,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.249532,Pending Collection
DIST-012,DIST-012,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250215,Pending Collection
DIST-013,DIST-013,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250217,Pending Collection
DPLM-001,DPLM-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250219,Pending Collection
DRDB-001,DRDB-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250221,Pending Collection
EAP-007,EAP-007,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250223,Pending Collection
ERRA-001,ERRA-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250225,Pending Collection
ETER-001,ETER-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250226,Pending Collection
EXOD-001,EXOD-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250228,Pending Collection
EXOD-002,EXOD-002,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250230,Pending Collection
EXOD-003,EXOD-003,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250231,Pending Collection
FMKR-001,FMKR-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250811,Pending Collection
FUSE-002,FUSE-002,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250814,Pending Collection
FUSE-007,FUSE-007,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250816,Pending Collection
FUSE-010,FUSE-010,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250818,Pending Collection
GITS-001,GITS-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250820,Pending Collection
GWVE-001,GWVE-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250821,Pending Collection
HIS-001,HIS-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250823,Pending Collection
HONE-001,HONE-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250825,Pending Collection
IBMP-002,IBMP-002,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250827,Pending Collection
IIB-001,IIB-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.250828,Pending Collection
INDY-001,INDY-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.251441,Pending Collection
ISV-002,ISV-002,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.251444,Pending Collection
ISVD-001,ISVD-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.251446,Pending Collection
ISVP-001,ISVP-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.251448,Pending Collection
ITUP-001,ITUP-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.251450,Pending Collection
JTNR-001,JTNR-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.251452,Pending Collection
KAR-001,KAR-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.251453,Pending Collection
KUI-001,KUI-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.251455,Pending Collection
MACI-001,MACI-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.251457,Pending Collection
MACS-001,MACS-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.251459,Pending Collection
MBS-001,MBS-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.253594,Pending Collection
MERC-001,MERC-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.253607,Pending Collection
MET-001,MET-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.253614,Pending Collection
META-001,META-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.253619,Pending Collection
MWNX-001,MWNX-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.253623,Pending Collection
MXOR-001,MXOR-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.253628,Pending Collection
NXS-001,NXS-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.253632,Pending Collection
ODCS-001,ODCS-001,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,empty value,Browser Automation - Direct ServiceNow,2026-01-26T14:23:30.253636,Pending Collection
