Product ID,Product Name,CMDB ID,Criticality Tier,Install Status,SOA Applicable,Collection Date
NXS-001,NXS-001,NXS-001,empty value,empty value,empty value,2026-01-26T14:23:30.253632
ODCS-001,ODCS-001,ODCS-001,empty value,empty value,empty value,2026-01-26T14:23:30.253636
OSL-001,OSL-001,OSL-001,empty value,empty value,empty value,2026-01-26T14:23:30.253640
PIPE-003,PIPE-003,PIPE-003,empty value,empty value,empty value,2026-01-26T14:23:30.253644
PROD-005,PROD-005,PROD-005,empty value,empty value,empty value,2026-01-26T14:23:30.254881
PSIC-001,PSIC-001,PSIC-001,empty value,empty value,empty value,2026-01-26T14:23:30.254887
PUBD-001,PUBD-001,PUBD-001,empty value,empty value,empty value,2026-01-26T14:23:30.254889
PULP-003,PULP-003,PULP-003,empty value,empty value,empty value,2026-01-26T14:23:30.254892
PXS-001,PXS-001,PXS-001,empty value,empty value,empty value,2026-01-26T14:23:30.254893
RCM-002,RCM-002,RCM-002,empty value,empty value,empty value,2026-01-26T14:23:30.254895
RCM-013,RCM-013,RCM-013,empty value,empty value,empty value,2026-01-26T14:23:30.254897
RCMC-003,RCMC-003,RCMC-003,empty value,empty value,empty value,2026-01-26T14:23:30.254899
RCME-001,RCME-001,RCME-001,empty value,empty value,empty value,2026-01-26T14:23:30.254901
RCMR-001,RCMR-001,RCMR-001,empty value,empty value,empty value,2026-01-26T14:23:30.254902
RDEA-001,RDEA-001,RDEA-001,empty value,empty value,empty value,2026-01-26T14:23:30.255679
RELE-001,RELE-001,RELE-001,empty value,empty value,empty value,2026-01-26T14:23:30.255699
REQ-1,REQ-1,REQ-1,empty value,empty value,empty value,2026-01-26T14:23:30.255701
REQ-13,REQ-13,REQ-13,empty value,empty value,empty value,2026-01-26T14:23:30.255703
REQ-2,REQ-2,REQ-2,empty value,empty value,empty value,2026-01-26T14:23:30.255705
REQ-3,REQ-3,REQ-3,empty value,empty value,empty value,2026-01-26T14:23:30.255707
REQ-4,REQ-4,REQ-4,empty value,empty value,empty value,2026-01-26T14:23:30.255709
REQ-6,REQ-6,REQ-6,empty value,empty value,empty value,2026-01-26T14:23:30.255711
REQ-8,REQ-8,REQ-8,empty value,empty value,empty value,2026-01-26T14:23:30.255713
REQ-9,REQ-9,REQ-9,empty value,empty value,empty value,2026-01-26T14:23:30.255714
RHEL-004,RHEL-004,RHEL-004,empty value,empty value,empty value,2026-01-26T14:23:30.256498
RNDA-001,RNDA-001,RNDA-001,empty value,empty value,empty value,2026-01-26T14:23:30.256501
ROG-001,ROG-001,ROG-001,empty value,empty value,empty value,2026-01-26T14:23:30.256503
RSIG-001,RSIG-001,RSIG-001,empty value,empty value,empty value,2026-01-26T14:23:30.256505
SIGN-004,SIGN-004,SIGN-004,empty value,empty value,empty value,2026-01-26T14:23:30.256507
SIGS-001,SIGS-001,SIGS-001,empty value,empty value,empty value,2026-01-26T14:23:30.256508
SIGS-002,SIGS-002,SIGS-002,empty value,empty value,empty value,2026-01-26T14:23:30.256510
SOAR-15,SOAR-15,SOAR-15,empty value,empty value,empty value,2026-01-26T14:23:30.256512
SOAR-446,SOAR-446,SOAR-446,empty value,empty value,empty value,2026-01-26T14:23:30.256514
SOAR-999,SOAR-999,SOAR-999,empty value,empty value,empty value,2026-01-26T14:23:30.256515
SPMP-001,SPMP-001,SPMP-001,empty value,empty value,empty value,2026-01-26T14:23:30.257311
SPRE-471,SPRE-471,SPRE-471,empty value,empty value,empty value,2026-01-26T14:23:30.257313
SRC-001,SRC-001,SRC-001,empty value,empty value,empty value,2026-01-26T14:23:30.257315
SSVR-001,SSVR-001,SSVR-001,empty value,empty value,empty value,2026-01-26T14:23:30.257317
TKN-001,TKN-001,TKN-001,empty value,empty value,empty value,2026-01-26T14:23:30.257318
UBIP-002,UBIP-002,UBIP-002,empty value,empty value,empty value,2026-01-26T14:23:30.257320
UNIF-001,UNIF-001,UNIF-001,empty value,empty value,empty value,2026-01-26T14:23:30.257322
UTDH-001,UTDH-001,UTDH-001,empty value,empty value,empty value,2026-01-26T14:23:30.257333
VEXG-001,VEXG-001,VEXG-001,empty value,empty value,empty value,2026-01-26T14:23:30.257335
VHCL-013,VHCL-013,VHCL-013,empty value,empty value,empty value,2026-01-26T14:23:30.257338
WADB-001,WADB-001,WADB-001,empty value,empty value,empty value,2026-01-26T14:23:30.258191
WIND-002,WIND-002,WIND-002,empty value,empty value,empty value,2026-01-26T14:23:30.258194
WINS-001,WINS-001,WINS-001,empty value,empty value,empty value,2026-01-26T14:23:30.258196
WINS-002,WINS-002,WINS-002,empty value,empty value,empty value,2026-01-26T14:23:30.258197
